ASSERTION	AAEDAAEBAwAAAAAAAABZQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	simulations.ScenarioAssertions	scenarioassertions	1593957846257	 	3.3.1
REQUEST	3		Get all Emp	1593957863929	1593957863945	OK	 
REQUEST	9		Get all Emp	1593957863941	1593957863951	OK	 
REQUEST	3		Get all Emp	1593957863946	1593957863952	OK	 
REQUEST	2		Get all Emp	1593957863944	1593957863957	OK	 
USER	Fixed Duration Load Simulation	29	START	1593957864177	1593957864177
REQUEST	29		Get all Emp	1593957864178	1593957864195	OK	 
REQUEST	12		Get all Emp	1593957864208	1593957864218	OK	 
REQUEST	12		Get all Emp	1593957864219	1593957864226	OK	 
USER	Fixed Duration Load Simulation	30	START	1593957864677	1593957864677
REQUEST	30		Get all Emp	1593957864678	1593957864687	OK	 
REQUEST	21		Get Specific Emp	1593957864705	1593957864712	OK	 
REQUEST	13		Get all Emp	1593957864705	1593957864715	OK	 
REQUEST	13		Get all Emp	1593957864715	1593957864723	OK	 
REQUEST	14		Get all Emp	1593957865208	1593957865220	OK	 
REQUEST	22		Get Specific Emp	1593957865218	1593957865227	OK	 
REQUEST	14		Get all Emp	1593957865221	1593957865229	OK	 
USER	Fixed Duration Load Simulation	31	START	1593957865667	1593957865667
REQUEST	31		Get all Emp	1593957865668	1593957865688	OK	 
REQUEST	23		Get Specific Emp	1593957865716	1593957865724	OK	 
REQUEST	15		Get all Emp	1593957865716	1593957865726	OK	 
REQUEST	15		Get all Emp	1593957865727	1593957865736	OK	 
USER	Fixed Duration Load Simulation	32	START	1593957866176	1593957866176
REQUEST	32		Get all Emp	1593957866177	1593957866188	OK	 
REQUEST	24		Get Specific Emp	1593957866195	1593957866203	OK	 
USER	Fixed Duration Load Simulation	33	START	1593957866677	1593957866677
REQUEST	33		Get all Emp	1593957866678	1593957866689	OK	 
REQUEST	25		Get Specific Emp	1593957866696	1593957866703	OK	 
REQUEST	16		Get all Emp	1593957866717	1593957866729	OK	 
REQUEST	16		Get all Emp	1593957866730	1593957866738	OK	 
USER	Fixed Duration Load Simulation	34	START	1593957867175	1593957867175
REQUEST	34		Get all Emp	1593957867177	1593957867189	OK	 
REQUEST	17		Get all Emp	1593957867226	1593957867231	OK	 
REQUEST	17		Get all Emp	1593957867233	1593957867238	OK	 
USER	Fixed Duration Load Simulation	35	START	1593957867675	1593957867675
REQUEST	35		Get all Emp	1593957867676	1593957867683	OK	 
REQUEST	26		Get Specific Emp	1593957867708	1593957867716	OK	 
REQUEST	18		Get all Emp	1593957867725	1593957867733	OK	 
REQUEST	18		Get all Emp	1593957867733	1593957867740	OK	 
REQUEST	27		Get Specific Emp	1593957868198	1593957868210	OK	 
REQUEST	19		Get all Emp	1593957868226	1593957868235	OK	 
REQUEST	19		Get all Emp	1593957868235	1593957868241	OK	 
USER	Fixed Duration Load Simulation	36	START	1593957868675	1593957868675
REQUEST	36		Get all Emp	1593957868676	1593957868680	OK	 
REQUEST	28		Get Specific Emp	1593957868697	1593957868705	OK	 
REQUEST	20		Get all Emp	1593957868716	1593957868726	OK	 
REQUEST	20		Get all Emp	1593957868727	1593957868731	OK	 
REQUEST	1		Get Specific Emp	1593957868896	1593957868903	OK	 
REQUEST	10		Get Specific Emp	1593957868907	1593957868913	OK	 
REQUEST	11		Get Specific Emp	1593957868917	1593957868923	OK	 
REQUEST	6		Get Specific Emp	1593957868917	1593957868925	OK	 
REQUEST	8		Get Specific Emp	1593957868926	1593957868931	OK	 
REQUEST	7		Get Specific Emp	1593957868926	1593957868932	OK	 
REQUEST	5		Get Specific Emp	1593957868926	1593957868932	OK	 
REQUEST	4		Get Specific Emp	1593957868938	1593957868942	OK	 
REQUEST	9		Get Specific Emp	1593957868946	1593957868954	OK	 
REQUEST	3		Get Specific Emp	1593957868946	1593957868954	OK	 
REQUEST	2		Get Specific Emp	1593957868955	1593957868962	OK	 
USER	Fixed Duration Load Simulation	37	START	1593957869177	1593957869177
REQUEST	37		Get all Emp	1593957869178	1593957869190	OK	 
REQUEST	29		Get Specific Emp	1593957869217	1593957869226	OK	 
REQUEST	12		Get Specific Emp	1593957869225	1593957869233	OK	 
USER	Fixed Duration Load Simulation	38	START	1593957869677	1593957869677
REQUEST	38		Get all Emp	1593957869678	1593957869686	OK	 
REQUEST	30		Get Specific Emp	1593957869706	1593957869714	OK	 
REQUEST	21		Get all Emp	1593957869719	1593957869728	OK	 
REQUEST	13		Get Specific Emp	1593957869727	1593957869737	OK	 
REQUEST	21		Get all Emp	1593957869729	1593957869739	OK	 
USER	Fixed Duration Load Simulation	39	START	1593957870176	1593957870176
REQUEST	39		Get all Emp	1593957870177	1593957870185	OK	 
REQUEST	14		Get Specific Emp	1593957870237	1593957870254	OK	 
REQUEST	22		Get all Emp	1593957870237	1593957870258	OK	 
REQUEST	22		Get all Emp	1593957870259	1593957870269	OK	 
USER	Fixed Duration Load Simulation	40	START	1593957870676	1593957870676
REQUEST	40		Get all Emp	1593957870677	1593957870686	OK	 
REQUEST	31		Get Specific Emp	1593957870706	1593957870713	OK	 
REQUEST	23		Get all Emp	1593957870727	1593957870739	OK	 
REQUEST	23		Get all Emp	1593957870740	1593957870748	OK	 
REQUEST	15		Get Specific Emp	1593957870737	1593957870758	OK	 
REQUEST	32		Get Specific Emp	1593957871206	1593957871216	OK	 
REQUEST	24		Get all Emp	1593957871206	1593957871218	OK	 
REQUEST	24		Get all Emp	1593957871218	1593957871227	OK	 
USER	Fixed Duration Load Simulation	41	START	1593957871676	1593957871676
REQUEST	41		Get all Emp	1593957871677	1593957871692	OK	 
REQUEST	33		Get Specific Emp	1593957871706	1593957871716	OK	 
REQUEST	25		Get all Emp	1593957871706	1593957871718	OK	 
REQUEST	25		Get all Emp	1593957871719	1593957871728	OK	 
REQUEST	16		Get Specific Emp	1593957871736	1593957871745	OK	 
USER	Fixed Duration Load Simulation	42	START	1593957872175	1593957872175
REQUEST	42		Get all Emp	1593957872176	1593957872184	OK	 
REQUEST	34		Get Specific Emp	1593957872205	1593957872211	OK	 
REQUEST	17		Get Specific Emp	1593957872236	1593957872244	OK	 
USER	Fixed Duration Load Simulation	43	START	1593957872676	1593957872676
REQUEST	43		Get all Emp	1593957872677	1593957872688	OK	 
REQUEST	35		Get Specific Emp	1593957872696	1593957872702	OK	 
REQUEST	26		Get all Emp	1593957872728	1593957872735	OK	 
REQUEST	26		Get all Emp	1593957872735	1593957872742	OK	 
REQUEST	18		Get Specific Emp	1593957872735	1593957872743	OK	 
USER	Fixed Duration Load Simulation	44	START	1593957873176	1593957873176
REQUEST	44		Get all Emp	1593957873177	1593957873197	OK	 
REQUEST	27		Get all Emp	1593957873217	1593957873222	OK	 
REQUEST	27		Get all Emp	1593957873222	1593957873230	OK	 
REQUEST	19		Get Specific Emp	1593957873247	1593957873255	OK	 
USER	Fixed Duration Load Simulation	45	START	1593957873677	1593957873677
REQUEST	45		Get all Emp	1593957873677	1593957873685	OK	 
REQUEST	36		Get Specific Emp	1593957873698	1593957873707	OK	 
REQUEST	28		Get all Emp	1593957873705	1593957873711	OK	 
REQUEST	28		Get all Emp	1593957873711	1593957873717	OK	 
REQUEST	20		Get Specific Emp	1593957873737	1593957873743	OK	 
REQUEST	1		Get all Emp	1593957873905	1593957873920	OK	 
REQUEST	10		Get all Emp	1593957873905	1593957873924	OK	 
REQUEST	1		Get all Emp	1593957873922	1593957873934	OK	 
REQUEST	10		Get all Emp	1593957873925	1593957873942	OK	 
REQUEST	6		Get all Emp	1593957873927	1593957873943	OK	 
REQUEST	11		Get all Emp	1593957873918	1593957873943	OK	 
REQUEST	7		Get all Emp	1593957873938	1593957873959	OK	 
REQUEST	5		Get all Emp	1593957873938	1593957873974	OK	 
REQUEST	8		Get all Emp	1593957873937	1593957873978	OK	 
REQUEST	6		Get all Emp	1593957873943	1593957873978	OK	 
REQUEST	11		Get all Emp	1593957873944	1593957873987	OK	 
REQUEST	4		Get all Emp	1593957873946	1593957873994	OK	 
REQUEST	2		Get all Emp	1593957873967	1593957874007	OK	 
REQUEST	5		Get all Emp	1593957873975	1593957874012	OK	 
REQUEST	9		Get all Emp	1593957873958	1593957874012	OK	 
REQUEST	7		Get all Emp	1593957873960	1593957874015	OK	 
REQUEST	3		Get all Emp	1593957873958	1593957874017	OK	 
REQUEST	8		Get all Emp	1593957873978	1593957874018	OK	 
REQUEST	2		Get all Emp	1593957874007	1593957874018	OK	 
REQUEST	3		Get all Emp	1593957874018	1593957874021	OK	 
REQUEST	9		Get all Emp	1593957874013	1593957874022	OK	 
REQUEST	4		Get all Emp	1593957873995	1593957874025	OK	 
REQUEST	37		Get Specific Emp	1593957874206	1593957874213	OK	 
REQUEST	29		Get all Emp	1593957874228	1593957874234	OK	 
REQUEST	12		Get all Emp	1593957874228	1593957874236	OK	 
